Rk,Name,Age,Tm,IP,G,GS,Wgs,Lgs,ND,Wchp,Ltuf,Wtm,Ltm,tmW-L%,Wlst,Lsv,CG,SHO,QS,QS%,GmScA,Best,Wrst,BQR,BQS,sDR,lDR,RS/GS,RS/IP,IP/GS,Pit/GS,<80,80-99,100-119,≥120,Max,Name-additional
1,Andrew Abbott*,24,CIN,109.1,21,21,8,6,7,3,1,14,7,0.667,1,2,0,0,9,43%,53.1,84,25,10,0,0,10,4.3,4.1,5.2,90,4,10,7,0,113,abbotan01
2,Joan Adon,24,WSN,51.2,12,10,2,4,4,0,0,5,5,0.5,0,2,0,0,2,20%,42.6,69,27,7,3,0,10,4.5,3.5,4.7,84,2,8,0,0,94,adonjo01
3,Keegan Akin*,28,BAL,23.2,24,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0%,46,46,46,12,8,1,0,8,0,1,25,1,0,0,0,25,akinke01
4,Sandy Alcantara,27,MIA,184.2,28,28,7,12,9,0,2,11,17,0.393,4,2,3,1,13,46%,53.1,85,9,18,5,0,17,3.9,3.8,6.6,97,1,16,11,0,116,alcansa01
5,Scott Alexander*,33,SFG,48.1,55,8,0,3,5,0,0,3,5,0.375,0,0,0,0,0,0%,47.1,56,32,20,12,7,0,2.9,1.1,0.8,14,8,0,0,0,19,alexasc02
6,Tyler Alexander*,28,DET,44,25,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,56,56,56,4,3,0,1,0,0,3,45,1,0,0,0,45,alexaty01
7,Kolby Allard*,25,ATL,12.1,4,3,0,1,2,0,0,1,2,0.333,1,0,0,0,0,0%,46.3,65,25,4,0,0,3,3,4.9,3.8,60,3,0,0,0,73,allarko01
8,Logan Allen*,24,CLE,125.1,24,24,7,8,9,2,2,14,10,0.583,2,3,0,0,7,29%,51.5,79,26,8,0,0,18,4.8,4.3,5.2,89,4,17,3,0,104,allenlo02
9,Chase Anderson,35,TOT,86.1,19,17,1,6,10,1,1,8,9,0.471,4,3,0,0,4,24%,,75,1,13,9,0,12,4.4,3.6,4.8,81,5,11,1,0,101,anderch01
10,Chase Anderson,35,COL,81.1,17,17,1,6,10,1,1,8,9,0.471,4,3,0,0,4,24%,45.2,75,1,13,9,0,12,4.4,3.6,4.8,81,5,11,1,0,101,anderch01
11,Tyler Anderson*,33,LAA,141,27,25,6,5,14,3,1,12,13,0.48,4,6,0,0,7,28%,46,69,20,15,10,0,24,5.3,4.9,5.3,91,2,17,6,0,109,anderty01
12,Tejay Antone,29,CIN,5.2,5,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,59,59,59,1,0,1,0,6.8,9,2,26,1,0,0,0,26,antonte01
13,Shawn Armstrong,32,TBR,52,39,6,0,0,6,0,0,5,1,0.833,0,0,0,0,0,0%,54.7,58,51,6,1,5,1,4.1,0.8,2,31,6,0,0,0,44,armstsh01
14,Graham Ashcraft,25,CIN,145.2,26,26,7,9,10,1,2,11,15,0.423,2,3,0,0,15,58%,49.1,73,2,17,7,0,12,4.5,4.3,5.6,89,4,17,5,0,110,ashcrgr01
15,Javier Assad,25,CHC,109.1,32,10,3,1,6,1,0,6,4,0.6,2,2,0,0,4,40%,54.5,74,34,13,4,0,5,6,5.2,5.4,85,2,8,0,0,98,assadja01
16,Pedro Avila,26,SDP,50.1,14,6,1,2,3,0,0,4,2,0.667,0,1,0,0,1,17%,45.5,68,17,6,4,0,3,5.7,3.8,4.3,82,3,3,0,0,91,avilape01
17,Tanner Banks*,31,CHW,61,32,3,0,2,1,0,0,1,2,0.333,0,1,0,0,0,0%,43.3,50,38,4,1,1,1,3.5,1,3.4,64,3,0,0,0,66,banksta01
18,Matt Barnes,33,MIA,21.1,24,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,51,51,51,9,5,1,0,2,9,1,24,1,0,0,0,24,barnema01
19,Jaime Barria,26,LAA,82.1,34,6,1,2,3,1,0,4,2,0.667,1,2,0,0,0,0%,48.2,69,23,2,0,1,3,6.1,4.2,4.6,78,3,3,0,0,93,barrija01
20,Chris Bassitt,34,TOR,200,33,33,16,8,9,0,2,20,13,0.606,2,5,1,1,21,64%,55.2,89,4,12,1,0,18,4.7,4.6,6.1,95,4,16,13,0,113,bassich01
21,Peyton Battenfield,25,CLE,34.2,7,6,0,5,1,0,2,0,6,0,0,0,0,0,2,33%,49.2,72,26,4,0,0,4,1,1.1,5.4,84,2,4,0,0,97,battepe01
22,Tristan Beck,27,SFG,85,33,3,0,1,2,0,0,2,1,0.667,0,0,0,0,0,0%,39.3,53,16,7,2,1,1,4.7,3,4,63,3,0,0,0,70,becktr01
23,Jalen Beeks*,29,TBR,42.1,30,8,0,1,7,0,0,3,5,0.375,0,1,0,0,0,0%,51.5,56,42,11,7,4,2,3.7,2.2,2,32,8,0,0,0,41,beeksja02
24,Brayan Bello,24,BOS,157,28,28,12,11,5,4,4,17,11,0.607,2,2,0,0,15,54%,50.5,73,9,10,2,0,21,5.6,5,5.6,93,2,17,9,0,107,bellobr01
25,Brennan Bernardino*,31,BOS,50.2,55,6,0,0,6,0,0,3,3,0.5,0,0,0,0,0,0%,52.8,56,48,23,6,6,0,4.3,4,1.5,25,6,0,0,0,31,bernabr01
26,José Berríos,29,TOR,189.2,32,32,11,12,9,3,3,17,15,0.531,2,1,0,0,15,47%,54.6,80,24,18,4,0,19,4.2,3.5,5.9,92,4,21,7,0,106,berrijo01
27,Tanner Bibee,24,CLE,142,25,25,10,4,11,4,1,14,11,0.56,4,5,0,0,11,44%,56.6,80,23,7,1,0,18,4.2,4,5.7,93,2,19,4,0,105,bibeeta01
28,Osvaldo Bido,27,PIT,50.2,16,9,0,2,7,0,1,2,7,0.222,0,3,0,0,1,11%,46.1,55,35,10,4,0,5,4.1,4.4,3.9,71,5,4,0,0,96,bidoos01
29,Shane Bieber,28,CLE,128,21,21,6,6,9,0,1,9,12,0.429,5,2,1,0,12,57%,53.3,79,20,8,0,0,12,3.8,3.7,6.1,93,0,16,5,0,108,biebesh01
30,Brandon Bielak,27,HOU,80,15,13,5,6,2,3,0,6,7,0.462,0,2,0,0,2,15%,48.1,73,31,18,4,0,10,3.7,3.6,5.4,92,0,11,2,0,106,bielabr01
31,Jake Bird,27,COL,89.1,70,3,0,0,3,0,0,2,1,0.667,0,1,0,0,0,0%,48,54,37,18,11,3,0,5.9,3.6,1.7,28,3,0,0,0,31,birdja01
32,Ty Blach*,32,COL,78,20,13,3,3,7,3,0,4,9,0.308,2,3,0,0,2,15%,44.7,73,16,8,1,0,7,4.8,4.3,5,79,2,11,0,0,93,blachty01
33,Paul Blackburn,29,OAK,103.2,21,20,4,7,9,2,1,10,10,0.5,3,2,0,0,6,30%,49.3,72,28,7,0,0,14,4.2,4,5.1,92,2,13,5,0,106,blackpa01
34,Ronel Blanco,29,HOU,52,17,7,2,1,4,2,1,3,4,0.429,1,1,0,0,3,43%,50.6,61,38,2,0,0,7,4.4,5.4,5.4,92,1,6,0,0,99,blancro01
35,Ryan Borucki*,29,PIT,40.1,38,2,0,0,2,0,0,1,1,0.5,0,0,0,0,0,0%,58.5,59,58,12,4,2,0,1.5,0,1.8,20,2,0,0,0,21,borucry01
36,Jonathan Bowlan,26,KCR,3,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,48,48,48,0,0,0,1,0,0,2,29,1,0,0,0,29,bowlajo01
37,Matthew Boyd*,32,DET,71,15,15,5,5,5,3,0,9,6,0.6,1,3,0,0,2,13%,48.2,66,19,10,4,0,10,4.4,4.1,4.7,78,4,10,1,0,102,boydma01
38,Joe Boyle,23,OAK,16,3,3,2,0,1,0,0,2,1,0.667,0,1,0,0,2,67%,62.7,65,59,0,0,0,3,4.2,1.7,5.3,80,1,2,0,0,94,boylejo01
39,Cody Bradford*,25,TEX,56,20,8,1,3,4,1,0,1,7,0.125,0,3,0,0,0,0%,42.5,57,23,8,6,3,4,3.1,2.6,4.2,79,5,3,0,0,95,bradfco01
40,Kyle Bradish,26,BAL,168.2,30,30,12,7,11,1,3,19,11,0.633,4,3,0,0,18,60%,58.5,79,10,13,0,0,20,4.8,4.6,5.6,88,4,20,6,0,107,bradiky01
41,Taj Bradley,22,TBR,104.2,23,21,5,8,8,4,0,10,11,0.476,1,3,0,0,1,5%,48.5,70,19,12,7,0,14,4.9,4.8,4.9,85,3,18,0,0,95,bradlta01
42,John Brebbia,33,SFG,38.1,40,10,0,2,8,0,0,5,5,0.5,0,1,0,0,0,0%,51.5,57,47,10,4,7,1,4.5,4.9,1.2,20,10,0,0,0,26,brebbjo01
43,Beau Brieske,25,DET,35,25,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,52,52,52,14,0,1,0,5,13.5,2,37,1,0,0,0,37,briesbe01
44,Jhony Brito,25,NYY,90.1,25,13,3,6,4,3,0,6,7,0.462,0,2,0,0,0,0%,43.9,68,11,17,6,0,8,3.7,3.5,4.1,71,7,6,0,0,92,britojh01
45,Connor Brogdon,28,PHI,29,27,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,48,48,48,7,0,1,0,3,0,0.7,28,1,0,0,0,28,brogdco01
46,Hunter Brown,24,HOU,155.2,31,29,10,13,6,3,1,14,15,0.483,1,3,0,0,11,38%,49.2,79,21,24,9,0,23,4.6,4.3,5.3,92,2,26,1,0,102,brownhu01
47,Kris Bubic*,25,KCR,16,3,3,0,2,1,0,0,0,3,0,1,0,0,0,1,33%,51.3,77,29,0,0,0,2,1.7,1.7,5.3,88,1,1,1,0,100,bubickr01
48,Madison Bumgarner*,33,ARI,16.2,4,4,0,3,1,0,0,1,3,0.25,0,1,0,0,0,0%,29.8,43,15,3,0,0,3,3.3,3.4,4.2,88,0,3,1,0,103,bumgama01
49,Corbin Burnes,28,MIL,193.2,32,32,10,8,14,2,4,18,14,0.563,4,5,0,0,19,59%,58.1,87,24,8,1,0,26,4.7,5,6.1,96,1,20,11,0,110,burneco01
50,José Butto,25,NYM,42,9,7,1,3,3,1,1,3,4,0.429,2,0,0,0,3,43%,53.9,65,41,9,6,0,7,2.6,2.1,5.3,90,0,7,0,0,99,buttojo01
51,Edward Cabrera,25,MIA,99.2,22,20,6,6,8,4,1,10,10,0.5,1,2,0,0,3,15%,50.8,73,34,18,8,0,13,3.5,3.9,4.6,82,8,11,1,0,109,cabreed02
52,Griffin Canning,27,LAA,127,24,22,6,8,8,3,2,10,12,0.455,4,1,0,0,8,36%,53,75,31,15,7,0,22,5,5.6,5.5,93,3,11,7,1,120,cannigr01
53,Carlos Carrasco,36,NYM,90,20,20,3,8,9,0,0,7,13,0.35,2,3,0,0,3,15%,41,79,14,15,6,0,15,4.8,4.8,4.5,79,8,11,1,0,100,carraca01
54,Luis Castillo,30,SEA,197,33,33,14,9,10,2,2,19,14,0.576,1,6,0,0,18,55%,57.8,82,29,7,1,0,20,5,4.9,6,97,1,19,13,0,109,castilu02
55,Dylan Cease,27,CHW,177,33,33,7,9,17,6,3,16,17,0.485,6,4,0,0,12,36%,51,76,11,27,11,0,19,4.3,4,5.4,99,1,18,14,0,113,ceasedy01
56,Slade Cecconi,24,ARI,27,7,4,0,1,3,0,0,2,2,0.5,0,0,0,0,0,0%,45.5,64,22,5,1,0,3,4.9,3.5,4.4,73,3,1,0,0,84,ceccosl01
57,Luis Cessa,31,CIN,26,7,6,1,4,1,1,0,1,5,0.167,1,0,0,0,0,0%,31.3,51,-16,8,2,0,4,4.5,4.6,4.2,74,4,2,0,0,88,cessalu01
58,JT Chargois,32,MIA,42.1,46,5,0,0,5,0,0,3,2,0.6,0,0,0,0,0,0%,51.4,54,50,6,1,4,0,4.6,4.5,0.9,16,5,0,0,0,25,chargjt01
59,Jesse Chavez,39,ATL,34.2,36,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,57,57,57,5,1,1,0,3,9,2.3,42,1,0,0,0,42,chaveje01
60,Yonny Chirinos,29,TOT,85,20,9,2,3,4,2,0,6,3,0.667,1,3,0,0,0,0%,37.7,59,19,21,8,0,6,7,7,4.8,80,5,4,0,0,96,chiriyo01
61,Yonny Chirinos,29,TBR,62.2,15,4,1,2,1,1,0,2,2,0.5,1,0,0,0,0,0%,40.3,59,19,14,3,0,3,4.5,5.9,5.3,82,2,2,0,0,96,chiriyo01
62,Yonny Chirinos,29,ATL,22.1,5,5,1,1,3,1,0,4,1,0.8,0,3,0,0,0,0%,35.6,47,29,7,5,0,3,9,7.9,4.5,79,3,2,0,0,95,chiriyo01
63,Aaron Civale,28,TOT,122.1,23,23,7,5,11,2,0,13,10,0.565,6,4,0,0,7,30%,54.6,82,28,12,5,0,16,4.7,4,5.3,87,3,17,3,0,103,civalaa01
64,Aaron Civale,28,CLE,77,13,13,5,2,6,1,0,7,6,0.538,3,2,0,0,6,46%,59,82,39,5,1,0,9,4,4,5.9,91,1,9,3,0,103,civalaa01
65,Aaron Civale,28,TBR,45.1,10,10,2,3,5,1,0,6,4,0.6,3,2,0,0,1,10%,48.9,66,28,7,4,0,7,5.6,3.9,4.5,83,2,8,0,0,98,civalaa01
66,Taylor Clarke,30,KCR,59,58,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0%,55.5,57,54,13,5,2,0,1.5,0,1.5,17,2,0,0,0,22,clarkta01
67,Mike Clevinger,32,CHW,131.1,24,24,9,9,6,3,1,12,12,0.5,2,2,2,0,10,42%,53.1,79,8,10,1,0,17,4.6,3.5,5.5,87,6,14,4,0,109,clevimi01
68,Alex Cobb,35,SFG,151.1,28,28,7,7,14,0,1,18,10,0.643,5,3,2,1,11,39%,51.3,88,21,16,4,0,15,4.3,3.8,5.4,89,8,14,5,1,131,cobbal01
69,Gerrit Cole,32,NYY,209,33,33,15,4,14,1,2,23,10,0.697,4,4,2,2,24,73%,61.6,92,27,13,6,0,19,4.8,4.2,6.3,99,0,16,17,0,110,colege01
70,Dylan Coleman,26,KCR,18.1,23,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,50,50,50,8,3,1,0,13.5,0,1,22,1,0,0,0,22,colemdy01
71,Roansy Contreras,23,PIT,68.1,19,11,3,5,3,1,1,5,6,0.455,0,2,0,0,4,36%,44.2,71,10,9,4,0,6,3.8,2.3,4.9,83,2,9,0,0,99,contrro01
72,Patrick Corbin*,33,WSN,180,32,32,10,15,7,3,4,15,17,0.469,3,3,0,0,15,47%,45.3,76,17,18,11,0,20,4.7,4.2,5.6,91,2,27,3,0,108,corbipa01
73,Jimmy Cordero,31,NYY,32.2,31,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,56,56,56,13,4,1,0,7,13.5,2,28,1,0,0,0,28,cordeji01
74,Nestor Cortes*,28,NYY,63.1,12,12,5,2,5,3,0,8,4,0.667,3,1,0,0,3,25%,50.4,66,26,8,7,0,7,5.9,4.8,5.3,89,2,8,2,0,101,cortene01
75,Dylan Covey,31,TOT,43,29,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,,16,16,10,3,0,0,4,0,0.7,30,1,0,0,0,30,coveydy01
76,Dylan Covey,31,PHI,39,28,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,16,16,16,7,3,0,0,4,0,0.7,30,1,0,0,0,30,coveydy01
77,Austin Cox*,26,KCR,35.2,24,3,0,1,2,0,0,0,3,0,0,1,0,0,0,0%,43.7,56,35,13,7,0,2,1.7,1.8,3.4,59,2,1,0,0,81,coxau01
78,Kutter Crawford,27,BOS,129.1,31,23,6,7,10,4,0,9,14,0.391,2,4,0,0,4,17%,51.4,77,20,17,6,2,15,4.8,4.3,4.7,77,11,12,0,0,96,crawfku01
79,Fernando Cruz,33,CIN,66,58,2,0,1,1,0,0,1,1,0.5,0,1,0,0,0,0%,54,54,54,15,6,2,0,3.6,0,1.5,26,2,0,0,0,29,cruzfe01
80,Steven Cruz,24,KCR,12.2,10,4,0,0,4,0,0,3,1,0.75,0,1,0,0,0,0%,50.5,56,43,6,0,2,1,5.7,7.2,1.4,27,4,0,0,0,39,cruzst01
81,Jose Cuas,29,TOT,65.1,72,2,0,0,2,0,0,1,1,0.5,0,1,0,0,0,0%,46.5,51,42,14,1,2,0,4,0,1,20,2,0,0,0,27,cuasjo01
82,Jose Cuas,29,KCR,41.2,45,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0%,42,42,42,5,0,1,0,6,0,1.3,27,1,0,0,0,27,cuasjo01
83,Jose Cuas,29,CHC,23.2,27,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,51,51,51,9,1,1,0,2,0,0.7,13,1,0,0,0,13,cuasjo01
84,Johnny Cueto,37,MIA,52.1,13,10,1,4,5,1,0,4,6,0.4,1,1,0,0,1,10%,45.3,71,30,6,3,0,8,4.4,4.5,4.6,77,5,4,1,0,100,cuetojo01
85,Xzavion Curry,24,CLE,95,41,9,0,3,6,0,0,2,7,0.222,1,3,0,0,1,11%,46.8,62,21,6,0,2,3,4.4,3.3,3.8,58,8,1,0,0,81,curryxz01
86,Yu Darvish,36,SDP,136.1,24,24,8,10,6,2,1,9,15,0.375,3,1,0,0,10,42%,51.5,81,18,14,6,0,15,4.1,3.8,5.7,93,2,13,9,0,115,darviyu01
87,Tucker Davidson*,27,TOT,51.1,38,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,,52,52,14,8,1,0,4,0,1,14,1,0,0,0,14,davidtu01
88,Tucker Davidson*,27,KCR,19.2,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0%,52,52,52,3,0,1,0,4,0,1,14,1,0,0,0,14,davidtu01
89,Zach Davies,30,ARI,82.1,18,18,2,5,11,0,0,10,8,0.556,2,5,0,0,3,17%,41.4,74,7,13,9,0,10,6.1,5.2,4.6,83,7,11,0,0,97,davieza02
90,Noah Davis,26,COL,30,8,6,0,4,2,0,0,0,6,0,0,0,0,0,0,0%,40.2,63,14,4,0,0,3,2.5,2.2,4.2,84,1,5,0,0,95,davisno01
91,José De León,30,MIN,17.1,12,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,58,58,58,5,2,1,0,2.3,0,2,24,1,0,0,0,24,deleojo03
92,Jacob deGrom,35,TEX,30.1,6,6,2,0,4,0,0,6,0,1,1,1,0,0,3,50%,61.3,71,36,3,1,0,5,6.8,5.6,5.1,75,3,3,0,0,98,degroja01
93,Matt Dermody*,32,BOS,4,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0%,42,42,42,0,0,0,1,3,0,4,76,1,0,0,0,76,dermoma01
94,Anthony DeSclafani,33,SFG,99.2,19,18,4,8,6,0,2,9,9,0.5,3,5,0,0,8,44%,49.7,79,26,8,5,0,11,4.6,2.9,5.3,82,8,8,2,0,109,desclan01
95,Reid Detmers*,23,LAA,148.2,28,28,4,10,14,1,1,12,16,0.429,3,4,0,0,9,32%,51.1,80,12,19,7,0,27,4.7,3.7,5.3,93,2,20,6,0,108,detmere01
96,Jhonathan Diaz*,26,LAA,7,4,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0%,50,50,50,3,0,0,1,3.1,0,1.7,30,1,0,0,0,30,diazjh01
97,Miguel Díaz,28,DET,14,12,3,0,0,3,0,0,1,2,0.333,0,0,0,0,0,0%,51,54,48,5,1,3,0,2.7,2.3,1,22,3,0,0,0,27,diazmi02
98,Dylan Dodd*,25,ATL,34.1,7,7,2,2,3,1,0,4,3,0.571,1,0,0,0,1,14%,35.1,54,17,2,2,0,6,5.7,6.5,4.9,81,3,4,0,0,89,dodddy01
99,Shawn Dubin,27,HOU,9,3,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0%,53,53,53,0,0,1,0,5,0,4,68,1,0,0,0,68,dubinsh01
100,Dane Dunning,28,TEX,172.2,35,26,10,7,9,2,0,13,13,0.5,4,3,0,0,12,46%,53.3,79,24,22,10,1,15,4.4,5,5.7,88,6,16,4,0,106,dunnida01
101,Zach Eflin,29,TBR,177.2,31,31,16,8,7,6,3,23,8,0.742,1,2,0,0,17,55%,56.8,81,19,6,1,0,17,5.7,5.8,5.7,83,10,17,4,0,103,eflinza01
102,Bryce Elder,24,ATL,174.2,31,31,12,4,15,4,0,21,10,0.677,5,6,0,0,16,52%,52,77,16,20,7,0,18,5.9,5,5.6,92,5,22,4,0,105,elderbr01
103,Mason Englert,23,DET,56,31,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0%,48,48,48,15,5,1,0,5.8,0,2.7,45,1,0,0,0,45,englema01
104,Nathan Eovaldi,33,TEX,144,25,25,12,5,8,4,1,15,10,0.6,4,2,2,1,11,44%,55.7,89,25,16,7,1,13,5.9,5.1,5.8,89,3,16,6,0,113,eovalna01
105,Joey Estes,21,OAK,10,2,2,0,1,1,0,0,0,2,0,1,0,0,0,0,0%,39.5,48,31,3,3,0,2,3.5,4.5,5,83,1,1,0,0,90,estesjo01
106,Alex Faedo,27,DET,64.2,15,12,2,5,5,0,1,3,9,0.25,1,3,0,0,4,33%,50.1,70,21,4,1,1,9,4.2,3.3,4.9,80,5,7,0,0,95,faedoal01
107,Bailey Falter*,26,TOT,80.2,18,14,1,8,5,0,2,5,9,0.357,0,3,0,0,3,21%,42.1,63,6,11,3,1,8,3.8,2.5,4.5,76,7,7,0,0,98,falteba01
108,Bailey Falter*,26,PHI,40.1,8,7,0,6,1,0,2,1,6,0.143,0,1,0,0,2,29%,44.6,59,31,7,1,0,4,2.3,1.7,5.1,85,3,4,0,0,98,falteba01
109,Bailey Falter*,26,PIT,40.1,10,7,1,2,4,0,0,4,3,0.571,0,2,0,0,1,14%,39.6,63,6,4,2,1,4,5.2,3.5,3.9,67,4,3,0,0,88,falteba01
110,Calvin Faucher,27,TBR,25.2,17,4,0,1,3,0,0,2,2,0.5,0,2,0,0,0,0%,45,51,37,7,0,2,1,5.7,3.7,2,43,4,0,0,0,46,fauchca01
